Short description,sd_len,sd_word_count,Description,desc_len,desc_word_count,Language,Caller,Assignment group
login issue,11,2,verified user detail employee manager name check the user name in ad and reset the password advise the user to login and check caller confirm that be able to login issue resolve,177,32,English,spxjnwir pjlcoqds,0
outlook,7,1,receive from email hello team meeting skype meeting etc be not appear in outlook calendar can somebody please advise how to correct this kind,141,24,English,hmjdrvpb komuaywn,0
can not log in to vpn,21,6,receive from email hi i can not log on to vpn best,50,12,English,eylqgodm ybqkwiam,0
unable to access hr tool page,29,6,unable to access hr tool page,29,6,English,xbkucsvz gcpydteq,0
skype error,11,2,skype error,11,2,English,owlgqjme qhcozdfx,0
unable to log in to engineering tool and skype,46,9,unable to log in to engineering tool and skype,46,9,English,eflahbxn ltdgrvkz,0
event critical hostname company com the value of mountpoint threshold for oracle sid erpdata,92,14,event critical hostname company com the value of mountpoint threshold for oracle sid erpdata srpsad srpsad data perpsrpsad be,125,19,English,jyoqwxhz clhxsoqy,1
ticket no employment status new non employee enter user s name,62,11,ticket no employment status new non employee enter user s name,62,11,English,eqzibjhw ymebpoih,0
unable to disable add in on outlook,35,7,unable to disable add in on outlook,35,7,English,mdbegvct dbvichlg,0
ticket update on inplant,24,4,ticket update on inplant,24,4,English,fumkcsji sarmtlhy,0
engineering tool say not connect and unable to submit report,60,10,engineering tool say not connect and unable to submit report,60,10,English,badgknqs xwelumfz,0
hr tool site not load page correctly,36,7,hr tool site not load page correctly,36,7,English,dcqsolkx kmsijcuz,0
unable to login to hr tool to sgxqsuojr xwbesorf card,53,10,unable to login to hr tool to sgxqsuojr xwbesorf card,53,10,English,oblekmrw qltgvspb,0
user want to reset the password,31,6,user want to reset the password,31,6,English,iftldbmu fujslwby,0
unable to open payslip,22,4,unable to open payslip,22,4,English,epwyvjsz najukwho,0
ticket update on inplant,24,4,ticket update on inplant,24,4,English,fumkcsji sarmtlhy,0
unable to login to company vpn,30,6,receive from email hi i be unable to login to company vpn website try to open a new session use the below link but not able to get through pls help urgently as be work from home tomorrow due to month end closing,211,43,English,chobktqj qdamxfuc,0
when undock pc screen will not come back,40,8,when undock pc screen will not come back,40,8,English,sigfdwcj reofwzlm,3
erp sid account lock,20,4,erp sid account lock,20,4,English,nqdyowsm yqerwtna,0
unable to sign into vpn,23,5,unable to sign into vpn,23,5,English,ftsqkvre bqzrupic,0
unable to check payslip,23,4,unable to check payslip,23,4,English,mrzgjdal whnldmef,0
vpn issue,9,2,receive from email hello helpdesk i be not able to connect vpn from home office couple f hour ago i be connect now be not work anymore get a message that session expire but if i click on the link nothing happen cid email nee help with dynamic crm click here chat with a live agent regard dynamic crm question now click here best,328,64,English,ugephfta hrbqkvij,0
unable to connect to vpn,24,5,unable to connect to vpn,24,5,English,pfmcnahv ofzlusri,0
user call for vendor phone number,33,6,user call for vendor phone number,33,6,English,fumkcsji sarmtlhy,0
vpn not work,12,3,receive from email hello i m not be able to connect to company network through the vpn pls check cc sir i be not be able to upload as a result of no company network,164,35,English,dceoufyz saufqkmd,0
erp sid password reset,22,4,erp sid password reset,22,4,English,jqhtkfsm xoehtbnl,0
unable to login to hr tool to check payslip,43,9,unable to login to hr tool to check payslip,43,9,English,dtisfuyp fpvrjlkz,0
account lock out,16,3,account lock out,16,3,English,lduqxywt wcydjgvl,0
unable to login to hr tool,26,6,unable to login to hr tool,26,6,English,mwebfhdz csndrxgi,0
unable to log in to erp sid,27,7,unable to log in to erp sid,27,7,English,hvskpglx bpsfxmon,0
password reset for collaboration platform,41,5,password reset for collaboration platform,41,5,English,wrlzneit ayqutwgh,0
reset user,10,2,hi please reset user password client would username xyz,55,9,English,qcehailo wqynckxg,0
duplication of network address,30,4,receive from email gentles i have two device that be try to share an ip address be try to share one be a printer with the hostname of prtjc and the other be a new display for erp the display be use dhcp to get address assign and the printer be hard code guess be that the address do not get set to a static address in dhcp i need this correct so the display will pick up another address,386,80,English,kxsceyzo naokumlb,4
